Accession,Family
CASDWV010000802.1,Atkinsviridae
CASDWV010000804.1,Steitzviridae
CASDWV010000806.1,Fiersviridae
CASDWV010000810.1,Fiersviridae
CASDWV010000817.1,Fiersviridae
CASDWV010000821.1,Fiersviridae
CASDWV010000822.1,Steitzviridae
CASDWV010000823.1,Steitzviridae
CASDWV010000830.1,Fiersviridae
CASDWV010000839.1,Atkinsviridae
CASDWV010000842.1,Steitzviridae
CASDWV010000845.1,Steitzviridae
CASDWV010000849.1,Fiersviridae
CASDWV010000854.1,Steitzviridae
CASDWV010000856.1,Steitzviridae
CASDWV010000861.1,Steitzviridae
CASDWV010000864.1,Fiersviridae
CASDWV010000871.1,Atkinsviridae
CASDWV010000879.1,Steitzviridae
CASDWV010000882.1,Steitzviridae
CASDWV010000886.1,Atkinsviridae
CASDWV010000896.1,Fiersviridae
CASDWV010000899.1,Fiersviridae
CASDWV010000902.1,Steitzviridae
CASDWV010000904.1,Atkinsviridae
CASDWV010000906.1,Steitzviridae
CASDWV010000916.1,Steitzviridae
CASDWV010000918.1,Steitzviridae
CASDWV010000923.1,Steitzviridae
CASDWV010000931.1,Fiersviridae
CASDWV010000932.1,Steitzviridae
CASDWV010000936.1,Fiersviridae
CASDWV010000939.1,Steitzviridae
CASDWV010000944.1,Steitzviridae
CASDWV010000947.1,Fiersviridae
CASDWV010000950.1,Atkinsviridae
CASDWV010000956.1,Atkinsviridae
CASDWV010000958.1,Atkinsviridae
CASDWV010000964.1,Atkinsviridae
CASDWV010000970.1,Fiersviridae
CASDWV010000973.1,Fiersviridae
CASDWV010000974.1,Fiersviridae
CASDWV010000980.1,Steitzviridae
CASDWV010000989.1,Steitzviridae
CASDWV010000992.1,Steitzviridae
CASDWV010000995.1,Steitzviridae
CASDWV010001001.1,Steitzviridae
CASDWV010001018.1,Steitzviridae
CASDWV010001020.1,Steitzviridae
CASDWV010001040.1,Fiersviridae
CASDWV010001045.1,Fiersviridae
CASDWV010001048.1,Steitzviridae
CASDWV010001053.1,Atkinsviridae
CASDWV010001056.1,Steitzviridae
CASDWV010001060.1,Fiersviridae
CASDWV010001061.1,Steitzviridae
CASDWV010001072.1,Steitzviridae
CASDWV010001079.1,Steitzviridae
CASDWV010001086.1,Steitzviridae
CASDWV010001087.1,Steitzviridae
CASDWV010001097.1,Steitzviridae
CASDWV010001099.1,Steitzviridae
CASDWV010001100.1,Fiersviridae
CASDWV010001101.1,Steitzviridae
CASDWV010001107.1,Fiersviridae
CASDWV010001115.1,Fiersviridae
CASDWV010001128.1,Fiersviridae
CASDWV010001130.1,Blumeviridae
CASDWV010001132.1,Steitzviridae
CASDWV010001135.1,Steitzviridae
CASDWV010001141.1,Fiersviridae
CASDWV010001148.1,Steitzviridae
CASDWV010001151.1,Steitzviridae
CASDWV010001153.1,Steitzviridae
CASDWV010001154.1,Fiersviridae
CASDWV010001159.1,Fiersviridae
CASDWV010001165.1,Fiersviridae
CASDWV010001175.1,Fiersviridae
CASDWV010001176.1,Atkinsviridae
CASDWV010001184.1,Fiersviridae
CASDWV010001185.1,Steitzviridae
CASDWV010001189.1,Fiersviridae
CASDWV010001191.1,Steitzviridae
CASDWV010001194.1,Steitzviridae
CASDWV010001198.1,Fiersviridae
CASDWV010001209.1,Fiersviridae
CASDWV010001219.1,Fiersviridae
CASDWV010001220.1,Fiersviridae
CASDWV010001221.1,Fiersviridae
CASDWV010001223.1,Fiersviridae
CASDWV010001225.1,Fiersviridae
CASDWV010001227.1,Fiersviridae
CASDWV010001228.1,Steitzviridae
CASDWV010001229.1,Steitzviridae
CASDWV010001231.1,Steitzviridae
CASDWV010001234.1,Fiersviridae
CASDWV010001251.1,Steitzviridae
CASDWV010001255.1,Fiersviridae
CASDWV010001256.1,Atkinsviridae
CASDWV010001259.1,Steitzviridae
CASDWV010001261.1,Fiersviridae
CASDWV010001278.1,Steitzviridae
CASDWV010001280.1,Fiersviridae
CASDWV010001284.1,Fiersviridae
CASDWV010001286.1,Steitzviridae
CASDWV010001299.1,Steitzviridae
CASDWV010001300.1,Atkinsviridae
CASDWV010001305.1,Atkinsviridae
CASDWV010001307.1,Fiersviridae
CASDWV010001308.1,Fiersviridae
CASDWV010001312.1,Fiersviridae
CASDWV010001315.1,Fiersviridae
CASDWV010001321.1,Steitzviridae
CASDWV010001323.1,Steitzviridae
CASDWV010001328.1,Atkinsviridae
CASDWV010001330.1,Steitzviridae
CASDWV010001331.1,Fiersviridae
CASDWV010001332.1,Steitzviridae
CASDWV010001333.1,Atkinsviridae
CASDWV010001340.1,Fiersviridae
CASDWV010001355.1,Fiersviridae
CASDWV010001363.1,Steitzviridae
CASDWV010001367.1,Steitzviridae
CASDWV010001368.1,Steitzviridae
CASDWV010001376.1,Steitzviridae
CASDWV010001381.1,Fiersviridae
CASDWV010001384.1,Atkinsviridae
CASDWV010001395.1,Steitzviridae
CASDWV010001397.1,Steitzviridae
CASDWV010001400.1,Steitzviridae
CASDWV010001402.1,Steitzviridae
CASDWV010001406.1,Fiersviridae
CASDWV010001407.1,Fiersviridae
CASDWV010001409.1,Fiersviridae
CASDWV010001412.1,Atkinsviridae
CASDWV010001417.1,Atkinsviridae
CASDWV010001424.1,Steitzviridae
CASDWV010001428.1,Steitzviridae
CASDWV010001430.1,Steitzviridae
CASDWV010001431.1,Steitzviridae
CASDWV010001434.1,Fiersviridae
CASDWV010001440.1,Steitzviridae
CASDWV010001444.1,Atkinsviridae
CASDWV010001454.1,Atkinsviridae
CASDWV010001461.1,Fiersviridae
CASDWV010001464.1,Atkinsviridae
CASDWV010001466.1,Atkinsviridae
CASDWV010001468.1,Fiersviridae
CASDWV010001469.1,Atkinsviridae
CASDWV010001470.1,Steitzviridae
CASDWV010001474.1,Steitzviridae
CASDWV010001476.1,Fiersviridae
CASDWV010001477.1,Steitzviridae
CASDWV010001478.1,Fiersviridae
CASDWV010001481.1,Steitzviridae
CASDWV010001482.1,Steitzviridae
CASDWV010001484.1,Fiersviridae
CASDWV010001486.1,Steitzviridae
CASDWV010001488.1,Fiersviridae
CASDWV010001489.1,Steitzviridae
CASDWV010001495.1,Steitzviridae
CASDWV010001499.1,Fiersviridae
CASDWV010001500.1,Steitzviridae
CASDWV010001513.1,Steitzviridae
CASDWV010001518.1,Fiersviridae
CASDWV010001521.1,Fiersviridae
CASDWV010001525.1,Steitzviridae
CASDWV010001531.1,Atkinsviridae
CASDWV010001550.1,Fiersviridae
CASDWV010001557.1,Fiersviridae
CASDWV010001560.1,Steitzviridae
CASDWV010001567.1,Fiersviridae
CASDWV010001570.1,Steitzviridae
CASDWV010001576.1,Steitzviridae
CASDWV010001577.1,Fiersviridae
CASDWV010001592.1,Steitzviridae
CASDWV010001593.1,Fiersviridae
CASDWV010001603.1,Steitzviridae
CASDWV010001605.1,Steitzviridae
CASDWV010001610.1,Steitzviridae
CASDWV010001612.1,Fiersviridae
CASDWV010001615.1,Atkinsviridae
CASDWV010001619.1,Fiersviridae
CASDWV010001622.1,Steitzviridae
CASDWV010001623.1,Steitzviridae
CASDWV010001624.1,Steitzviridae
CASDWV010001626.1,Fiersviridae
CASDWV010001629.1,Steitzviridae
CASDWV010001634.1,Fiersviridae
CASDWV010001635.1,Fiersviridae
CASDWV010001636.1,Atkinsviridae
CASDWV010001637.1,Fiersviridae
CASDWV010001645.1,Steitzviridae
CASDWV010001658.1,Steitzviridae
CASDWV010001663.1,Steitzviridae
CASDWV010001666.1,Steitzviridae
CASDWV010001667.1,Steitzviridae
CASDWV010001669.1,Steitzviridae
CASDWV010001670.1,Steitzviridae
CASDWV010001671.1,Steitzviridae
CASDWV010001674.1,Fiersviridae
CASDWV010001682.1,Steitzviridae
CASDWV010001685.1,Steitzviridae
CASDWV010001686.1,Fiersviridae
CASDWV010001703.1,Atkinsviridae
CASDWV010001707.1,Fiersviridae
CASDWV010001710.1,Steitzviridae
CASDWV010001714.1,Steitzviridae
CASDWV010001716.1,Steitzviridae
CASDWV010001720.1,Fiersviridae
CASDWV010001724.1,Steitzviridae
CASDWV010001725.1,Steitzviridae
CASDWV010001727.1,Steitzviridae
CASDWV010001728.1,Steitzviridae
CASDWV010001730.1,Steitzviridae
CASDWV010001732.1,Steitzviridae
CASDWV010001734.1,Steitzviridae
CASDWV010001736.1,Steitzviridae
CASDWV010001737.1,Fiersviridae
CASDWV010001738.1,Fiersviridae
CASDWV010001751.1,Steitzviridae
CASDWV010001754.1,Steitzviridae
CASDWV010001768.1,Fiersviridae
CASDWV010001771.1,Steitzviridae
CASDWV010001773.1,Steitzviridae
CASDWV010001774.1,Steitzviridae
CASDWV010001775.1,Steitzviridae
CASDWV010001778.1,Steitzviridae
CASDWV010001781.1,Fiersviridae
CASDWV010001786.1,Atkinsviridae
CASDWV010001792.1,Fiersviridae
CASDWV010001793.1,Fiersviridae
CASDWV010001802.1,Steitzviridae
CASDWV010001806.1,Fiersviridae
CASDWV010001810.1,Fiersviridae
CASDWV010001811.1,Fiersviridae
CASDWV010001813.1,Steitzviridae
CASDWV010001826.1,Fiersviridae
CASDWV010001827.1,Steitzviridae
CASDWV010001833.1,Atkinsviridae
CASDWV010001835.1,Atkinsviridae
CASDWV010001836.1,Steitzviridae
CASDWV010001837.1,Steitzviridae
CASDWV010001840.1,Atkinsviridae
CASDWV010001841.1,Steitzviridae
CASDWV010001844.1,Atkinsviridae
CASDWV010001847.1,Fiersviridae
CASDWV010001855.1,Steitzviridae
CASDWV010001873.1,Steitzviridae
CASDWV010001878.1,Fiersviridae
CASDWV010001879.1,Atkinsviridae
CASDWV010001884.1,Fiersviridae
CASDWV010001889.1,Atkinsviridae
CASDWV010001904.1,Fiersviridae
CASDWV010001907.1,Fiersviridae
CASDWV010001919.1,Steitzviridae
CASDWV010001921.1,Atkinsviridae
CASDWV010001925.1,Steitzviridae
CASDWV010001926.1,Steitzviridae
CASDWV010001933.1,Steitzviridae
CASDWV010001934.1,Steitzviridae
CASDWV010001938.1,Atkinsviridae
CASDWV010001951.1,Steitzviridae
CASDWV010001952.1,Steitzviridae
CASDWV010001954.1,Fiersviridae
CASDWV010001955.1,Fiersviridae
CASDWV010001960.1,Steitzviridae
CASDWV010001969.1,Fiersviridae
CASDWV010001977.1,Fiersviridae
CASDWV010001978.1,Fiersviridae
CASDWV010001986.1,Steitzviridae
CASDWV010001988.1,Steitzviridae
CASDWV010001989.1,Steitzviridae
CASDWV010001990.1,Steitzviridae
CASDWV010001991.1,Steitzviridae
CASDWV010001993.1,Atkinsviridae
CASDWV010001995.1,Atkinsviridae
CASDWV010001996.1,Atkinsviridae
CASDWV010001999.1,Fiersviridae
CASDWV010002010.1,Steitzviridae
CASDWV010002012.1,Fiersviridae
CASDWV010002013.1,Fiersviridae
CASDWV010002017.1,Steitzviridae
CASDWV010002018.1,Steitzviridae
CASDWV010002023.1,Atkinsviridae
CASDWV010002028.1,Atkinsviridae
CASDWV010002031.1,Atkinsviridae
CASDWV010002038.1,Steitzviridae
CASDWV010002039.1,Steitzviridae
CASDWV010002045.1,Fiersviridae
CASDWV010002046.1,Steitzviridae
CASDWV010002048.1,Steitzviridae
CASDWV010002063.1,Steitzviridae
CASDWV010002064.1,Steitzviridae
CASDWV010002068.1,Fiersviridae
CASDWV010002069.1,Fiersviridae
CASDWV010002070.1,Fiersviridae
CASDWV010002091.1,Steitzviridae
CASDWV010002094.1,Steitzviridae
CASDWV010002098.1,Fiersviridae
CASDWV010002115.1,Steitzviridae
CASDWV010002117.1,Steitzviridae
CASDWV010002124.1,Steitzviridae
CASDWV010002135.1,Fiersviridae
CASDWV010002152.1,Steitzviridae
CASDWV010002153.1,Steitzviridae
CASDWV010002158.1,Atkinsviridae
CASDWV010002159.1,Fiersviridae
CASDWV010002161.1,Steitzviridae
CASDWV010002162.1,Steitzviridae
CASDWV010002164.1,Steitzviridae
CASDWV010002167.1,Steitzviridae
CASDWV010002168.1,Fiersviridae
CASDWV010002169.1,Steitzviridae
CASDWV010002170.1,Steitzviridae
CASDWV010002172.1,Steitzviridae
CASDWV010002173.1,Fiersviridae
CASDWV010002174.1,Atkinsviridae
CASDWV010002175.1,Steitzviridae
CASDWV010002191.1,Steitzviridae
CASDWV010002193.1,Steitzviridae
CASDWV010002196.1,Fiersviridae
CASDWV010002198.1,Steitzviridae
CASDWV010002202.1,Atkinsviridae
CASDWV010002204.1,Steitzviridae
CASDWV010002205.1,Fiersviridae
CASDWV010002212.1,Fiersviridae
CASDWV010002219.1,Steitzviridae
CASDWV010002221.1,Steitzviridae
CASDWV010002227.1,Fiersviridae
CASDWV010002236.1,Steitzviridae
CASDWV010002238.1,Fiersviridae
CASDWV010002243.1,Fiersviridae
CASDWV010002250.1,Fiersviridae
CASDWV010002258.1,Steitzviridae
CASDWV010002265.1,Fiersviridae
CASDWV010002269.1,Fiersviridae
CASDWV010002272.1,Steitzviridae
CASDWV010002273.1,Steitzviridae
CASDWV010002274.1,Steitzviridae
CASDWV010002276.1,Fiersviridae
CASDWV010002286.1,Steitzviridae
CASDWV010002287.1,Fiersviridae
CASDWV010002288.1,Steitzviridae
CASDWV010002293.1,Fiersviridae
CASDWV010002295.1,Fiersviridae
CASDWV010002299.1,Atkinsviridae
CASDWV010002303.1,Fiersviridae
CASDWV010002307.1,Fiersviridae
CASDWV010002308.1,Fiersviridae
CASDWV010002315.1,Steitzviridae
CASDWV010002317.1,Steitzviridae
CASDWV010002318.1,Fiersviridae
CASDWV010002321.1,Steitzviridae
CASDWV010002322.1,Steitzviridae
CASDWV010002323.1,Steitzviridae
CASDWV010002325.1,Steitzviridae
CASDWV010002326.1,Fiersviridae
CASDWV010002328.1,Atkinsviridae
CASDWV010002331.1,Fiersviridae
CASDWV010002333.1,Fiersviridae
CASDWV010002336.1,Atkinsviridae
CASDWV010002342.1,Steitzviridae
CASDWV010002348.1,Fiersviridae
CASDWV010002352.1,Steitzviridae
CASDWV010002355.1,Atkinsviridae
CASDWV010002360.1,Steitzviridae
CASDWV010002375.1,Fiersviridae
CASDWV010002380.1,Fiersviridae
CASDWV010002381.1,Fiersviridae
CASDWV010002382.1,Steitzviridae
CASDWV010002385.1,Fiersviridae
CASDWV010002387.1,Atkinsviridae
CASDWV010002398.1,Fiersviridae
CASDWV010002399.1,Steitzviridae
CASDWV010002403.1,Fiersviridae
CASDWV010002412.1,Atkinsviridae
CASDWV010002415.1,Steitzviridae
CASDWV010002416.1,Fiersviridae
CASDWV010002426.1,Steitzviridae
CASDWV010002430.1,Steitzviridae
CASDWV010002432.1,Steitzviridae
CASDWV010002434.1,Steitzviridae
CASDWV010002439.1,Steitzviridae
CASDWV010002447.1,Fiersviridae
CASDWV010002452.1,Steitzviridae
CASDWV010002456.1,Steitzviridae
CASDWV010002464.1,Steitzviridae
CASDWV010002480.1,Steitzviridae
CASDWV010002484.1,Steitzviridae
CASDWV010002486.1,Steitzviridae
CASDWV010002488.1,Fiersviridae
CASDWV010002493.1,Fiersviridae
CASDWV010002496.1,Fiersviridae
CASDWV010002499.1,Fiersviridae
CASDWV010002501.1,Fiersviridae
CASDWV010002505.1,Steitzviridae
CASDWV010002506.1,Steitzviridae
CASDWV010002512.1,Fiersviridae
CASDWV010002516.1,Fiersviridae
CASDWV010002521.1,Steitzviridae
CASDWV010002525.1,Steitzviridae
CASDWV010002528.1,Atkinsviridae
CASDWV010002533.1,Steitzviridae
CASDWV010002541.1,Fiersviridae
CASDWV010002544.1,Fiersviridae
CASDWV010002548.1,Fiersviridae
CASDWV010002550.1,Fiersviridae
CASDWV010002552.1,Fiersviridae
CASDWV010002553.1,Fiersviridae
CASDWV010002554.1,Fiersviridae
CASDWV010002559.1,Fiersviridae
CASDWV010002566.1,Fiersviridae
CASDWV010002567.1,Steitzviridae
CASDWV010002572.1,Atkinsviridae
CASDWV010002580.1,Fiersviridae
CASDWV010002593.1,Atkinsviridae
CASDWV010002615.1,Steitzviridae
CASDWV010002616.1,Steitzviridae
CASDWV010002634.1,Atkinsviridae
CASDWV010002636.1,Atkinsviridae
CASDWV010002639.1,Fiersviridae
CASDWV010002647.1,Steitzviridae
CASDWV010002651.1,Fiersviridae
CASDWV010002657.1,Steitzviridae
CASDWV010002673.1,Fiersviridae
CASDWV010002675.1,Steitzviridae
CASDWV010002690.1,Steitzviridae
CASDWV010002701.1,Steitzviridae
CASDWV010002702.1,Steitzviridae
CASDWV010002710.1,Fiersviridae
CASDWV010002711.1,Fiersviridae
CASDWV010002717.1,Steitzviridae
CASDWV010002720.1,Steitzviridae
CASDWV010002724.1,Atkinsviridae
CASDWV010002733.1,Steitzviridae
CASDWV010002734.1,Steitzviridae
CASDWV010002738.1,Fiersviridae
CASDWV010002739.1,Atkinsviridae
CASDWV010002748.1,Steitzviridae
CASDWV010002751.1,Steitzviridae
CASDWV010002753.1,Steitzviridae
CASDWV010002754.1,Steitzviridae
CASDWV010002756.1,Steitzviridae
CASDWV010002757.1,Steitzviridae
CASDWV010002758.1,Atkinsviridae
CASDWV010002760.1,Fiersviridae
CASDWV010002765.1,Steitzviridae
CASDWV010002768.1,Fiersviridae
CASDWV010002773.1,Steitzviridae
CASDWV010002779.1,Steitzviridae
CASDWV010002783.1,Fiersviridae
CASDWV010002785.1,Fiersviridae
CASDWV010002788.1,Steitzviridae
CASDWV010002793.1,Steitzviridae
CASDWV010002799.1,Steitzviridae
CASDWV010002815.1,Steitzviridae
CASDWV010002816.1,Fiersviridae
CASDWV010002830.1,Fiersviridae
CASDWV010002838.1,Atkinsviridae
CASDWV010002845.1,Steitzviridae
CASDWV010002849.1,Steitzviridae
CASDWV010002861.1,Fiersviridae
CASDWV010002863.1,Steitzviridae
CASDWV010002867.1,Steitzviridae
CASDWV010002872.1,Steitzviridae
CASDWV010002875.1,Steitzviridae
CASDWV010002880.1,Fiersviridae
CASDWV010002887.1,Atkinsviridae
CASDWV010002890.1,Atkinsviridae
CASDWV010002892.1,Fiersviridae
CASDWV010002894.1,Fiersviridae
CASDWV010002906.1,Steitzviridae
CASDWV010002912.1,Steitzviridae
CASDWV010002915.1,Fiersviridae
CASDWV010002922.1,Steitzviridae
CASDWV010002923.1,Steitzviridae
CASDWV010002926.1,Steitzviridae
CASDWV010002937.1,Steitzviridae
CASDWV010002941.1,Steitzviridae
CASDWV010002943.1,Steitzviridae
CASDWV010002949.1,Fiersviridae
CASDWV010002951.1,Steitzviridae
CASDWV010002959.1,Steitzviridae
CASDWV010002967.1,Fiersviridae
CASDWV010002976.1,Steitzviridae
CASDWV010002982.1,Steitzviridae
CASDWV010002996.1,Steitzviridae
CASDWV010002999.1,Steitzviridae
CASDWV010003010.1,Steitzviridae
CASDWV010003019.1,Steitzviridae
CASDWV010003020.1,Steitzviridae
CASDWV010003025.1,Steitzviridae
CASDWV010003028.1,Fiersviridae
CASDWV010003030.1,Fiersviridae
CASDWV010003034.1,Fiersviridae
CASDWV010003035.1,Fiersviridae
CASDWV010003038.1,Steitzviridae
CASDWV010003041.1,Steitzviridae
CASDWV010003048.1,Fiersviridae
CASDWV010003051.1,Fiersviridae
CASDWV010003055.1,Steitzviridae
CASDWV010003066.1,Fiersviridae
CASDWV010003068.1,Fiersviridae
CASDWV010003070.1,Steitzviridae
CASDWV010003076.1,Steitzviridae
CASDWV010003079.1,Fiersviridae
CASDWV010003084.1,Steitzviridae
CASDWV010003096.1,Steitzviridae
CASDWV010003100.1,Steitzviridae
CASDWV010003101.1,Steitzviridae
CASDWV010003104.1,Steitzviridae
CASDWV010003108.1,Steitzviridae
CASDWV010003123.1,Steitzviridae
CASDWV010003126.1,Steitzviridae
CASDWV010003127.1,Steitzviridae
CASDWV010003129.1,Steitzviridae
CASDWV010003132.1,Atkinsviridae
CASDWV010003133.1,Steitzviridae
CASDWV010003134.1,Fiersviridae
CASDWV010003135.1,Steitzviridae
CASDWV010003145.1,Steitzviridae
CASDWV010003149.1,Fiersviridae
CASDWV010003152.1,Fiersviridae
CASDWV010003161.1,Blumeviridae
CASDWV010003162.1,Blumeviridae
CASDWV010003164.1,Steitzviridae
CASDWV010003165.1,Fiersviridae
CASDWV010003166.1,Atkinsviridae
CASDWV010003175.1,Steitzviridae
CASDWV010003179.1,Steitzviridae
CASDWV010003185.1,Steitzviridae
CASDWV010003186.1,Steitzviridae
CASDWV010003187.1,Atkinsviridae
CASDWV010003188.1,Steitzviridae
CASDWV010003189.1,Steitzviridae
CASDWV010003199.1,Fiersviridae
CASDWV010003201.1,Steitzviridae
CASDWV010003203.1,Fiersviridae
CASDWV010003216.1,Fiersviridae
CASDWV010003222.1,Steitzviridae
CASDWV010003225.1,Fiersviridae
CASDWV010003229.1,Fiersviridae
CASDWV010003243.1,Steitzviridae
CASDWV010003245.1,Atkinsviridae
CASDWV010003255.1,Steitzviridae
CASDWV010003268.1,Steitzviridae
CASDWV010003276.1,Atkinsviridae
CASDWV010003280.1,Steitzviridae
CASDWV010003283.1,Steitzviridae
CASDWV010003287.1,Steitzviridae
CASDWV010003291.1,Steitzviridae
CASDWV010003306.1,Steitzviridae
CASDWV010003307.1,Fiersviridae
CASDWV010003310.1,Steitzviridae
CASDWV010003311.1,Steitzviridae
CASDWV010003312.1,Steitzviridae
CASDWV010003314.1,Fiersviridae
CASDWV010003317.1,Steitzviridae
CASDWV010003318.1,Steitzviridae
CASDWV010003326.1,Steitzviridae
CASDWV010003329.1,Steitzviridae
CASDWV010003330.1,Steitzviridae
CASDWV010003332.1,Steitzviridae
CASDWV010003348.1,Fiersviridae
CASDWV010003352.1,Fiersviridae
CASDWV010003354.1,Fiersviridae
CASDWV010003365.1,Fiersviridae
CASDWV010003373.1,Fiersviridae
CASDWV010003374.1,Fiersviridae
CASDWV010003377.1,Steitzviridae
CASDWV010003378.1,Steitzviridae
CASDWV010003399.1,Atkinsviridae
CASDWV010003403.1,Steitzviridae
CASDWV010003404.1,Steitzviridae
CASDWV010003406.1,Steitzviridae
CASDWV010003407.1,Steitzviridae
CASDWV010003411.1,Steitzviridae
CASDWV010003414.1,Steitzviridae
CASDWV010003416.1,Steitzviridae
CASDWV010003417.1,Steitzviridae
CASDWV010003419.1,Steitzviridae
CASDWV010003422.1,Atkinsviridae
CASDWV010003423.1,Steitzviridae
CASDWV010003429.1,Fiersviridae
CASDWV010003430.1,Steitzviridae
CASDWV010003437.1,Steitzviridae
CASDWV010003439.1,Fiersviridae
CASDWV010003442.1,Fiersviridae
CASDWV010003448.1,Steitzviridae
CASDWV010003449.1,Steitzviridae
CASDWV010003454.1,Steitzviridae
CASDWV010003456.1,Steitzviridae
CASDWV010003464.1,Fiersviridae
CASDWV010003466.1,Fiersviridae
CASDWV010003469.1,Steitzviridae
CASDWV010003472.1,Steitzviridae
CASDWV010003474.1,Fiersviridae
CASDWV010003477.1,Steitzviridae
CASDWV010003486.1,Steitzviridae
CASDWV010003489.1,Fiersviridae
CASDWV010003490.1,Steitzviridae
CASDWV010003492.1,Steitzviridae
CASDWV010003494.1,Fiersviridae
CASDWV010003501.1,Steitzviridae
CASDWV010003502.1,Steitzviridae
CASDWV010003503.1,Fiersviridae
CASDWV010003504.1,Fiersviridae
CASDWV010003515.1,Steitzviridae
CASDWV010003518.1,Steitzviridae
CASDWV010003521.1,Steitzviridae
CASDWV010003525.1,Fiersviridae
CASDWV010003530.1,Steitzviridae
CASDWV010003534.1,Fiersviridae
CASDWV010003539.1,Fiersviridae
CASDWV010003554.1,Fiersviridae
CASDWV010003565.1,Steitzviridae
CASDWV010003567.1,Steitzviridae
CASDWV010003568.1,Steitzviridae
CASDWV010003569.1,Steitzviridae
CASDWV010003570.1,Fiersviridae
CASDWV010003575.1,Steitzviridae
CASDWV010003578.1,Atkinsviridae
CASDWV010003581.1,Steitzviridae
CASDWV010003582.1,Steitzviridae
CASDWV010003587.1,Steitzviridae
CASDWV010003591.1,Steitzviridae
CASDWV010003595.1,Fiersviridae
CASDWV010003602.1,Steitzviridae
CASDWV010003607.1,Steitzviridae
CASDWV010003611.1,Atkinsviridae
CASDWV010003625.1,Fiersviridae
CASDWV010003626.1,Fiersviridae
CASDWV010003635.1,Fiersviridae
CASDWV010003637.1,Steitzviridae
CASDWV010003649.1,Steitzviridae
CASDWV010003656.1,Fiersviridae
CASDWV010003665.1,Steitzviridae
CASDWV010003670.1,Fiersviridae
CASDWV010003671.1,Fiersviridae
CASDWV010003673.1,Fiersviridae
CASDWV010003677.1,Steitzviridae
CASDWV010003682.1,Steitzviridae
CASDWV010003685.1,Steitzviridae
CASDWV010003689.1,Steitzviridae
CASDWV010003695.1,Fiersviridae
CASDWV010003701.1,Steitzviridae
CASDWV010003712.1,Steitzviridae
CASDWV010003715.1,Steitzviridae
CASDWV010003716.1,Steitzviridae
CASDWV010003724.1,Steitzviridae
CASDWV010003726.1,Fiersviridae
CASDWV010003737.1,Atkinsviridae
CASDWV010003741.1,Steitzviridae
CASDWV010003742.1,Steitzviridae
CASDWV010003752.1,Steitzviridae
CASDWV010003753.1,Fiersviridae
CASDWV010003759.1,Atkinsviridae
CASDWV010003763.1,Steitzviridae
CASDWV010003769.1,Fiersviridae
CASDWV010003772.1,Fiersviridae
CASDWV010003773.1,Atkinsviridae
CASDWV010003791.1,Fiersviridae
CASDWV010003801.1,Fiersviridae
CASDWV010003811.1,Fiersviridae
CASDWV010003812.1,Steitzviridae
CASDWV010003815.1,Steitzviridae
CASDWV010003817.1,Steitzviridae
CASDWV010003818.1,Steitzviridae
CASDWV010003820.1,Fiersviridae
CASDWV010003821.1,Atkinsviridae
CASDWV010003826.1,Steitzviridae
CASDWV010003828.1,Fiersviridae
CASDWV010003832.1,Steitzviridae
CASDWV010003833.1,Steitzviridae
CASDWV010003843.1,Steitzviridae
CASDWV010003844.1,Fiersviridae
CASDWV010003848.1,Fiersviridae
CASDWV010003851.1,Steitzviridae
CASDWV010003854.1,Fiersviridae
CASDWV010003859.1,Fiersviridae
CASDWV010003869.1,Fiersviridae
CASDWV010003875.1,Fiersviridae
CASDWV010003881.1,Fiersviridae
CASDWV010003888.1,Fiersviridae
CASDWV010003889.1,Fiersviridae
CASDWV010003897.1,Steitzviridae
CASDWV010003898.1,Steitzviridae
CASDWV010003905.1,Atkinsviridae
CASDWV010003906.1,Steitzviridae
CASDWV010003907.1,Steitzviridae
CASDWV010003917.1,Fiersviridae
CASDWV010003918.1,Fiersviridae
CASDWV010003921.1,Atkinsviridae
CASDWV010003924.1,Atkinsviridae
CASDWV010003930.1,Fiersviridae
CASDWV010003931.1,Fiersviridae
CASDWV010003932.1,Fiersviridae
CASDWV010003943.1,Steitzviridae
CASDWV010003946.1,Fiersviridae
CASDWV010003955.1,Steitzviridae
CASDWV010003956.1,Fiersviridae
CASDWV010003959.1,Steitzviridae
CASDWV010003971.1,Atkinsviridae
CASDWV010003972.1,Steitzviridae
CASDWV010003974.1,Fiersviridae
CASDWV010003978.1,Fiersviridae
CASDWV010003981.1,Steitzviridae
CASDWV010003989.1,Fiersviridae
CASDWV010003991.1,Steitzviridae
CASDWV010003993.1,Steitzviridae
CASDWV010004002.1,Fiersviridae
CASDWV010004005.1,Fiersviridae
CASDWV010004006.1,Fiersviridae
CASDWV010004011.1,Fiersviridae
CASDWV010004017.1,Steitzviridae
CASDWV010004024.1,Steitzviridae
CASDWV010004033.1,Fiersviridae
CASDWV010004040.1,Steitzviridae
CASDWV010004043.1,Atkinsviridae
CASDWV010004046.1,Steitzviridae
CASDWV010004053.1,Steitzviridae
CASDWV010004058.1,Steitzviridae
CASDWV010004067.1,Atkinsviridae
CASDWV010004068.1,Steitzviridae
CASDWV010004077.1,Steitzviridae
CASDWV010004095.1,Atkinsviridae
CASDWV010004097.1,Fiersviridae
CASDWV010004116.1,Fiersviridae
CASDWV010004123.1,Steitzviridae
CASDWV010004138.1,Fiersviridae
CASDWV010004152.1,Steitzviridae
