genome1,genome2,y
D00239.1,FJ445163.1,1
D00239.1,FJ445167.1,1
D00239.1,DQ473501.1,1
D00239.1,MF280817.1,0
D00239.1,MT024872.1,0
D00239.1,BK013506.1,0
D00239.1,FJ445153.1,1
D00239.1,U64512.1,0
D00239.1,LC075488.1,0
D00239.1,KM204984.1,0
D00239.1,AY370674.1,0
D00239.1,MF926439.1,0
D00239.1,OQ828306.1,0
D00246.1,DQ525916.1,1
D00246.1,M12294.2,1
D00246.1,AY453411.1,1
D00246.1,AY632536.4,1
D00246.1,AY632540.2,1
D00246.1,AY632541.4,1
D00246.1,DQ859062.1,1
D00246.1,DQ859067.1,1
D00246.1,KF917536.1,1
D00246.1,KJ776791.2,1
D00246.1,CASDWV010001332.1,0
D00246.1,FJ816271.1,0
D00246.1,GQ351272.1,0
D00246.1,KX883627.1,0
D00246.1,KY295898.1,0
D00246.1,AB261167.1,0
D00246.1,JN008909.1,0
D00246.1,JN562727.1,0
D00246.1,JX145334.1,0
D00246.1,KR073661.1,0
D00322.1,AY157993.1,1
D00322.1,LT608395.1,1
D00322.1,MG253828.1,1
D00322.1,OP374158.1,1
D00322.1,X15346.1,1
D00322.1,KX812815.1,1
D00322.1,KY569301.1,1
D00322.1,MT375548.1,1
D00322.1,OR439368.1,1
D00322.1,MH716806.1,1
D00322.1,AB469874.1,0
D00322.1,AJ581753.1,0
D00322.1,KP236128.1,0
D00322.1,OP072555.1,0
D00322.1,EU118277.1,0
D00322.1,KC880347.1,0
D00322.1,BK013850.1,0
D00322.1,MZ679745.1,0
D00322.1,OQ025076.1,0
D00322.1,KP037007.1,0
D00344.1,OL979628.1,1
D00344.1,AB219105.1,1
D00344.1,JF930327.1,1
D00344.1,MN265368.1,1
D00344.1,X06728.1,1
D00344.1,AB066288.1,1
D00344.1,AF406744.1,1
D00344.1,AY366207.2,1
D00344.1,D12517.1,1
D00344.1,EU489641.1,1
D00344.1,MT234338.1,0
D00344.1,HM119407.1,0
D00344.1,JQ316470.1,0
D00344.1,MZ679494.1,0
D00344.1,MH484330.1,0
D00344.1,MN532660.1,0
D00344.1,X76993.1,0
D00344.1,KP792710.1,0
D00344.1,MN022787.1,0
D00344.1,CASDWV010003724.1,0
D00353.1,AB000851.1,1
D00353.1,AY237111.1,1
D00353.1,AY593727.1,1
D00353.1,EF485030.1,1
D00353.1,EU294510.1,1
D00353.1,EU564828.1,1
D00353.1,EU564830.1,1
D00353.1,EU622820.2,1
D00353.1,EU879062.3,1
D00353.1,FJ943505.1,1
D00353.1,MT074462.1,0
D00353.1,MT319109.1,0
D00353.1,AY697460.1,0
D00353.1,BK013933.1,0
D00353.1,CASDWV010003956.1,0
D00353.1,MZ679555.1,0
D00353.1,MF041812.1,0
D00353.1,CASDWV010002276.1,0
D00353.1,KP792690.1,1
D00353.1,U09509.1,0
D00356.1,AB724113.1,1
D00356.1,AJ272327.1,1
D00356.1,D10044.1,1
D00356.1,FM881899.1,1
D00356.1,MF688613.1,1
D00356.1,MT319109.1,1
D00356.1,MW888424.1,1
D00356.1,U15728.1,1
D00356.1,X02380.1,1
D00356.1,AB080598.1,1
D00356.1,JF304937.1,0
D00356.1,MZ679558.1,0
D00356.1,HM566195.1,0
D00356.1,MK721184.1,0
D00356.1,KT862238.1,0
D00356.1,CASDWV010000738.1,0
D00356.1,MZ679804.1,0
D00356.1,MF997470.1,0
D00356.1,KM817668.1,0
D00356.1,MN783016.1,0
D00507.2,AJ507388.2,1
D00507.2,AM157175.1,1
D00507.2,AY206394.2,1
D00507.2,AY437609.1,1
D00507.2,AY626825.4,1
D00507.2,D13751.1,1
D00507.2,JN008909.1,1
D00507.2,JQ794501.1,1
D00507.2,JX156434.1,1
D00507.2,JX294310.1,1
D00507.2,EF589101.1,0
D00507.2,M12197.1,0
D00507.2,KF534749.1,0
D00507.2,CASDWV010000432.1,0
D00507.2,AB038625.1,0
D00507.2,OK032418.1,0
D00507.2,OR997970.1,0
D00507.2,MH051914.1,0
D00507.2,CASDWV010004565.1,0
D00507.2,MT334620.1,0
D00624.1,AJ270057.1,1
D00624.1,AE002163.1,1
D00624.1,U41758.1,1
D00624.1,AF306496.1,1
D00624.1,MT185428.1,1
D00624.1,M17988.1,1
D00624.1,J02482.1,1
D00624.1,DQ079871.1,1
D00624.1,DQ079874.1,1
D00624.1,DQ079875.1,1
D00624.1,KJ174317.1,0
D00624.1,JX159980.1,0
D00624.1,AF403738.1,0
D00624.1,CASDWV010005068.1,0
D00624.1,KP791805.1,0
D00624.1,CASDWV010000548.1,0
D00624.1,AF212302.2,0
D00624.1,MK513528.1,0
D00624.1,MZ679564.1,0
D00624.1,AF133128.1,0
D00627.1,AF029859.2,1
D00627.1,AF083069.1,1
D00627.1,AF114383.1,1
D00627.1,AF241359.1,1
D00627.1,AY302541.1,1
D00627.1,AY302542.1,1
D00627.1,AY302547.1,1
D00627.1,AY302552.1,1
D00627.1,AY302556.1,1
D00627.1,AY302557.1,1
D00627.1,KJ746622.1,0
D00627.1,MT790493.1,0
D00627.1,MT774409.1,0
D00627.1,MN062189.1,0
D00627.1,KJ577816.1,0
D00627.1,MT153420.1,0
D00627.1,MH937496.1,0
D00627.1,BK013418.1,0
D00627.1,JF811582.1,0
D00627.1,AJ749657.1,0
D00637.1,MH784952.1,1
D00637.1,AY751777.1,1
D00637.1,AY751780.1,1
D00637.1,AY884005.1,1
D00637.1,FJ444852.2,1
D00637.1,KX354202.1,1
D00637.1,Y16104.1,1
D00637.1,AJ309022.1,1
D00637.1,AY789137.1,1
D00637.1,FN563123.1,1
D00637.1,MG696851.1,0
D00637.1,FN178514.1,0
D00637.1,OL686893.1,0
D00637.1,AF296090.1,0
D00637.1,JN671444.1,0
D00637.1,JX429973.1,0
D00637.1,KJ950938.1,0
D00637.1,KT884050.1,0
D00637.1,BK062997.1,0
D00637.1,MF327529.1,0
D00645.1,AB038343.1,1
D00645.1,AY686718.1,1
D00645.1,AY867502.1,1
D00645.1,DQ256123.1,1
D00645.1,GU584184.1,1
D00645.1,HQ402596.1,1
D00645.1,HQ728387.1,1
D00645.1,JN587268.1,1
D00645.1,JX833564.1,1
D00645.1,KJ541744.1,1
D00645.1,CASDWV010002867.1,0
D00645.1,JN597006.1,0
D00645.1,LC381845.1,0
D00645.1,CASDWV010004490.1,0
D00645.1,MN532673.1,0
D00645.1,S51557.1,0
D00645.1,MK896566.1,0
D00645.1,AB066288.1,0
D00645.1,EU839994.1,0
D00645.1,FJ438908.1,0
D00820.1,AY426531.1,1
D00820.1,AF499636.1,1
D00820.1,AF499637.1,1
D00820.1,AF499639.1,1
D00820.1,AF499640.1,1
D00820.1,EF555644.1,1
D00820.1,EF555645.1,1
D00820.1,M12197.1,1
D00820.1,V01150.1,1
D00820.1,AF499635.1,1
D00820.1,OL704855.1,0
D00820.1,CASDWV010001634.1,0
D00820.1,JX867548.1,0
D00820.1,LC094267.1,0
D00820.1,OQ594965.1,0
D00820.1,EF568108.1,0
D00820.1,AY038069.2,0
D00820.1,BK013640.1,0
D00820.1,KY744234.1,0
D00820.1,KY489954.1,0
D00915.1,MH716806.1,1
D00915.1,KY569301.1,1
D00915.1,OP374158.1,1
D00915.1,AB649296.1,1
D00915.1,AF277675.1,0
D00915.1,FN691934.1,1
D00915.1,KX424571.1,1
D00915.1,L19655.1,1
D00915.1,MK492273.1,1
D00915.1,AM087671.2,1
D00915.1,BK064299.1,0
D00915.1,KM982402.1,0
D00915.1,MK330762.1,0
D00915.1,MT293414.1,0
D00915.1,KX883005.1,0
D00915.1,HQ110084.1,0
D00915.1,BK061766.1,0
D00915.1,CASDWV010003134.1,0
D00915.1,KX377933.1,0
D00915.1,KC506156.1,0
D00944.1,EF108306.2,1
D00944.1,GU814265.1,1
D00944.1,AF009606.1,1
D00944.1,M62321.1,1
D00944.1,D17763.1,1
D00944.1,D63821.1,1
D00944.1,Y12083.1,1
D00944.1,Y13184.1,1
D00944.1,D90208.1,1
D00944.1,D63822.1,1
D00944.1,MK896507.1,0
D00944.1,OM514462.1,0
D00944.1,KY312557.1,0
D00944.1,AB219105.1,0
D00944.1,MF683623.1,0
D00944.1,MT478527.1,0
D00944.1,KR053200.1,0
D00944.1,AY462106.1,0
D00944.1,CASDWV010001417.1,0
D00944.1,AY488138.2,0
D10044.1,MF688613.1,1
D10044.1,U15728.1,1
D10044.1,X02380.1,1
D10044.1,AB080598.1,1
D10044.1,AB194806.2,1
D10044.1,AB444583.1,1
D10044.1,AB724113.1,1
D10044.1,AJ272327.1,1
D10044.1,D00356.1,1
D10044.1,FM881899.1,1
D10044.1,KT945995.1,0
D10044.1,MN605479.1,0
D10044.1,MH937469.1,0
D10044.1,CASDWV010000305.1,0
D10044.1,BK064253.1,0
D10044.1,MW623430.1,0
D10044.1,MK415409.1,0
D10044.1,BK059306.1,0
D10044.1,BK013407.1,0
D10044.1,CASDWV010002167.1,0
D10066.1,AB061774.1,1
D10066.1,AF025538.1,1
D10066.1,AF133128.1,1
D10066.1,DQ256124.1,1
D10066.1,EF552435.1,1
D10066.1,FJ623474.1,1
D10066.1,FJ822962.1,1
D10066.1,HQ700667.1,1
D10066.1,HQ728385.1,1
D10066.1,JF417980.1,1
D10066.1,MG584189.1,0
D10066.1,EF467176.1,0
D10066.1,JU091017.1,0
D10066.1,BK064347.1,0
D10066.1,EF173425.1,0
D10066.1,KP966621.1,0
D10066.1,KX698423.1,1
D10066.1,MT341473.1,0
D10066.1,HC085052.1,0
D10066.1,MG655268.1,0
D10538.1,FM881901.1,1
D10538.1,U15730.1,1
D10538.1,AB033689.1,0
D10538.1,AB033691.1,0
D10538.1,AB080600.1,1
D10538.1,AB194808.1,1
D10538.1,AB724115.1,1
D10538.1,AJ012005.1,0
D10538.1,AJ132576.1,0
D10538.1,AY007231.1,0
D10538.1,KY662280.1,0
D10538.1,MT670419.1,0
D10538.1,GQ384080.1,0
D10538.1,MH536824.1,0
D10538.1,JQ794501.1,0
D10538.1,KJ667051.1,0
D10538.1,KF254780.1,0
D10538.1,MW671054.1,0
D10538.1,ON746518.1,0
D10538.1,KJ481927.1,0
D10663.1,FM881900.1,1
D10663.1,AB017503.1,0
D10663.1,AB923924.1,0
D10663.1,KX857665.1,0
D10663.1,U03387.1,0
D10663.1,AB194807.2,1
D10663.1,D13438.1,0
D10663.1,EF546442.1,0
D10663.1,JN651149.1,0
D10663.1,KF533697.1,0
D10663.1,HQ607520.1,0
D10663.1,LC466007.1,0
D10663.1,CASDWV010001622.1,0
D10663.1,CASDWV010004011.1,0
D10663.1,KF925531.1,0
D10663.1,AF185958.1,0
D10663.1,KP005454.1,0
D10663.1,MN532638.1,0
D10663.1,CASDWV010001716.1,0
D10663.1,FJ670570.2,0
D10759.1,HM566191.1,1
D10759.1,JQ924562.1,1
D10759.1,HM566159.1,1
D10759.1,HM745930.1,1
D10759.1,JF838330.1,1
D10759.1,KC589005.1,1
D10759.1,LC618931.1,1
D10759.1,MK524345.1,1
D10759.1,MN823639.1,1
D10759.1,DQ375403.1,1
D10759.1,KP037007.1,0
D10759.1,MN053720.1,0
D10759.1,AF499596.1,0
D10759.1,HE580237.1,0
D10759.1,MN400076.1,0
D10759.1,MZ679545.1,0
D10759.1,X00729.1,0
D10759.1,AY613852.2,0
D10759.1,BK013921.1,0
D10759.1,GQ274030.1,0
D10930.1,DQ641248.1,1
D10930.1,GQ916624.1,1
D10930.1,JN008909.1,1
D10930.1,AB219545.1,1
D10930.1,AF499738.1,1
D10930.1,D83749.1,1
D10930.1,JX156434.1,1
D10930.1,JX294310.1,1
D10930.1,KU556609.1,1
D10930.1,MF997470.1,1
D10930.1,MN532650.1,0
D10930.1,MK972702.1,0
D10930.1,KF626665.1,0
D10930.1,OM514526.1,0
D10930.1,MW481326.1,0
D10930.1,CASDWV010003943.1,0
D10930.1,BK013763.1,0
D10930.1,KP853109.1,0
D10930.1,KY290756.1,0
D10930.1,AF404509.2,0
D11028.1,AF218798.2,1
D11028.1,AF441393.1,1
D11028.1,KX159470.1,1
D11028.1,AJ557804.1,1
D11028.1,KC559092.1,1
D11028.1,X83964.1,1
D11028.1,Y13463.1,1
D11028.1,EU151723.4,1
D11028.1,JN700748.1,1
D11028.1,KC166238.1,1
D11028.1,MK032705.1,0
D11028.1,MW202684.1,0
D11028.1,AY330918.2,0
D11028.1,MH323434.1,0
D11028.1,AF218360.1,0
D11028.1,KU041847.1,0
D11028.1,OP775659.1,0
D11028.1,KX884459.1,0
D11028.1,KP329565.1,0
D11028.1,LC008510.1,0
D12477.2,AB073148.2,1
D12477.2,AB649297.1,1
D12477.2,AF020051.3,1
D12477.2,AJ277435.1,1
D12477.2,AY017339.1,1
D12477.2,AY363727.1,1
D12477.2,BK061329.1,1
D12477.2,FN691935.1,1
D12477.2,FR851462.1,1
D12477.2,JQ670669.1,1
D12477.2,MH937496.1,0
D12477.2,MH822967.1,0
D12477.2,KX898418.1,0
D12477.2,MH499472.1,0
D12477.2,KY385390.1,0
D12477.2,CASDWV010003225.1,0
D12477.2,AB914762.1,0
D12477.2,JX123128.1,0
D12477.2,CASDWV010001685.1,0
D12477.2,MT733040.1,0
D12517.1,AB219105.1,1
D12517.1,AF406744.1,1
D12517.1,AY366207.2,1
D12517.1,FJ670570.2,1
D12517.1,KJ711908.1,1
D12517.1,KP313240.1,1
D12517.1,MF150240.1,1
D12517.1,MK957246.1,1
D12517.1,OL979628.1,1
D12517.1,D00344.1,1
D12517.1,HM236906.1,0
D12517.1,JN565944.1,0
D12517.1,MZ679663.1,0
D12517.1,AY722806.1,0
D12517.1,KP966108.1,0
D12517.1,MH937508.1,0
D12517.1,OK491501.1,0
D12517.1,CASDWV010004316.1,0
D12517.1,BK013526.1,0
D12517.1,JQ957872.1,0
D12937.1,AB114858.1,1
D12937.1,AF144692.1,1
D12937.1,AF253419.1,1
D12937.1,AF311056.1,1
D12937.1,AF326573.1,1
D12937.1,AF331718.1,1
D12937.1,AJ242984.1,1
D12937.1,AJ299445.1,1
D12937.1,AY193805.1,1
D12937.1,AY323490.1,1
D12937.1,MG250485.1,0
D12937.1,CASDWV010002333.1,0
D12937.1,BK013552.1,0
D12937.1,AB775549.1,0
D12937.1,CASDWV010003028.1,0
D12937.1,MH939435.1,0
D12937.1,PP467602.1,0
D12937.1,S48091.1,0
D12937.1,KU198602.1,0
D12937.1,MG775043.2,0
D13176.1,MG566075.1,1
D13176.1,MN044343.1,1
D13176.1,MW678791.1,1
D13176.1,MZ703098.1,1
D13176.1,U53224.1,1
D13176.1,L75930.1,1
D13176.1,M57426.1,1
D13176.1,MG566076.1,1
D13176.1,MN044344.1,1
D13176.1,MW678792.1,1
D13176.1,BK061820.1,0
D13176.1,MN532625.1,0
D13176.1,GU071086.1,0
D13176.1,KX100128.1,0
D13176.1,V01150.1,0
D13176.1,EF026081.1,0
D13176.1,EU938663.1,0
D13176.1,LR597655.1,0
D13176.1,KY364847.1,0
D13176.1,MG600091.1,0
D13438.1,AB017503.1,1
D13438.1,AB089381.1,1
D13438.1,U03387.1,1
D13438.1,U30944.1,1
D13438.1,HM026454.1,1
D13438.1,AM398436.1,1
D13438.1,KJ395757.1,1
D13438.1,EF375551.1,1
D13438.1,DQ355023.1,1
D13438.1,M81413.1,1
D13438.1,LT221868.1,0
D13438.1,JQ941880.1,0
D13438.1,AB033692.1,1
D13438.1,LC746218.1,0
D13438.1,BK061826.1,0
D13438.1,MH015250.1,0
D13438.1,MT766309.1,0
D13438.1,HF912243.1,0
D13438.1,MK524339.1,0
D13438.1,FR694192.1,0
D13751.1,JQ794501.1,1
D13751.1,X16415.1,1
D13751.1,KJ787006.1,1
D13751.1,AM157175.1,1
D13751.1,JN008909.1,1
D13751.1,LC604019.1,1
D13751.1,D83749.1,1
D13751.1,JX294310.1,1
D13751.1,X67673.1,1
D13751.1,AJ851866.1,1
D13751.1,KP774592.1,0
D13751.1,MN532665.1,0
D13751.1,MG604920.1,0
D13751.1,KX463670.1,0
D13751.1,CASDWV010003437.1,0
D13751.1,CASDWV010001165.1,0
D13751.1,BK064302.1,0
D13751.1,MN058208.1,0
D13751.1,MW697481.1,0
D13751.1,FR694198.1,0
D13954.1,JQ700308.2,1
D13954.1,KT962089.1,1
D13954.1,KU999109.1,1
D13954.1,KY523072.1,1
D13954.1,AF352024.1,1
D13954.1,BK013145.1,1
D13954.1,BK059372.1,1
D13954.1,EU000534.1,1
D13954.1,GU167940.1,1
D13954.1,HM439608.2,1
D13954.1,CASDWV010003188.1,0
D13954.1,CASDWV010002308.1,0
D13954.1,GU810903.1,0
D13954.1,MG573143.1,0
D13954.1,KM817763.1,0
D13954.1,MW685514.1,0
D13954.1,MT733025.1,0
D13954.1,AY386371.1,0
D13954.1,MH588546.1,0
D13954.1,AF403390.1,0
D14066.1,EU980442.1,1
D14066.1,U67839.1,1
D14066.1,OP533794.1,1
D14066.1,AB030940.1,1
D14066.1,M95497.1,1
D14066.1,OR659471.1,1
D14066.1,AF277675.1,0
D14066.1,BK061334.1,1
D14066.1,BK062991.1,1
D14066.1,KU215538.1,1
D14066.1,MW046577.1,0
D14066.1,KC771281.1,0
D14066.1,U88536.1,0
D14066.1,MW012634.1,0
D14066.1,JN226758.1,0
D14066.1,MZ327262.1,0
D14066.1,AM745758.1,0
D14066.1,MH545511.1,0
D14066.1,OK108608.1,0
D14066.1,KC669550.1,0
D14449.2,AB032469.1,1
D14449.2,MK684348.1,1
D14449.2,MZ189739.1,1
D14449.2,EU527979.1,1
D14449.2,KJ415259.1,1
D14449.2,KJ572562.2,1
D14449.2,KJ789130.1,1
D14449.2,KP784454.2,1
D14449.2,ON241319.1,1
D14449.2,DQ098905.1,1
D14449.2,MZ680331.1,0
D14449.2,CASDWV010000923.1,0
D14449.2,MN769225.1,0
D14449.2,EF056009.1,0
D14449.2,MW039254.1,0
D14449.2,KJ481921.1,0
D14449.2,MF957259.1,0
D14449.2,KY512802.1,0
D14449.2,OP313011.1,0
D14449.2,EU200677.1,0
D14995.2,D21829.2,1
D14995.2,HQ339956.1,1
D14995.2,JN591720.1,1
D14995.2,OM525829.1,1
D14995.2,AB032469.1,1
D14995.2,AB051848.1,1
D14995.2,AF315308.1,1
D14995.2,AJ516059.1,1
D14995.2,AJ620300.1,1
D14995.2,AM158439.1,1
D14995.2,MG641192.1,0
D14995.2,U87411.1,0
D14995.2,HM015221.1,0
D14995.2,AJ888457.1,0
D14995.2,FJ768020.1,0
D14995.2,MT129769.1,0
D14995.2,MW526258.1,0
D14995.2,AB110977.1,0
D14995.2,MH370376.1,0
D14995.2,AB244417.1,0
D17763.1,D00944.1,1
D17763.1,EF108306.2,1
D17763.1,GU814265.1,1
D17763.1,D63821.1,1
D17763.1,AF009606.1,1
D17763.1,D90208.1,1
D17763.1,M62321.1,1
D17763.1,Y13184.1,1
D17763.1,Y12083.1,1
D17763.1,D63822.1,1
D17763.1,MH937459.1,0
D17763.1,CASDWV010000956.1,0
D17763.1,AJ318061.1,0
D17763.1,FJ478159.2,0
D17763.1,KX981923.1,0
D17763.1,AJ309022.1,0
D17763.1,HM236939.1,0
D17763.1,MH590597.1,0
D17763.1,BK013564.1,0
D17763.1,BK013799.1,0
D21208.1,FM955840.1,1
D21208.1,GU129016.1,1
D21208.1,HM999991.1,1
D21208.1,K02718.1,1
D21208.1,X74477.1,1
D21208.1,X94164.1,1
D21208.1,AF131950.1,1
D21208.1,AF227240.1,1
D21208.1,AF436128.1,1
D21208.1,AF436130.1,1
D21208.1,D00624.1,0
D21208.1,D10759.1,0
D21208.1,KM598396.1,0
D21208.1,U01060.1,0
D21208.1,CP014526.1,0
D21208.1,OM514500.1,0
D21208.1,MT708549.1,0
D21208.1,KC821606.1,0
D21208.1,HM999990.1,1
D21208.1,CASDWV010001333.1,0
D21829.2,HQ339956.1,1
D21829.2,ON241319.1,1
D21829.2,AB051848.1,1
D21829.2,AF315308.1,1
D21829.2,AJ620300.1,1
D21829.2,EU020009.1,1
D21829.2,EU074853.1,1
D21829.2,EU162589.1,1
D21829.2,JQ904630.1,1
D21829.2,JX277553.1,1
D21829.2,KJ013302.1,0
D21829.2,OP784575.1,0
D21829.2,KT732800.1,0
D21829.2,MK240091.1,0
D21829.2,KU587555.1,0
D21829.2,MG740721.1,0
D21829.2,MG597244.1,0
D21829.2,MZ334521.1,0
D21829.2,KT601115.1,0
D21829.2,BK013499.1,0
D26017.1,AB219105.1,1
D26017.1,D00344.1,1
D26017.1,MF978248.1,1
D26017.1,OL979628.1,1
D26017.1,OQ865609.1,1
D26017.1,X06728.1,1
D26017.1,AB066288.1,1
D26017.1,AB206396.1,1
D26017.1,AF406744.1,1
D26017.1,AF484251.1,1
D26017.1,OP045498.1,0
D26017.1,DQ056292.1,0
D26017.1,KU885988.1,0
D26017.1,JQ957874.1,0
D26017.1,CASDWV010003419.1,0
D26017.1,OP775658.1,0
D26017.1,MG721015.1,0
D26017.1,MW491755.1,0
D26017.1,KT820207.1,0
D26017.1,PP754929.1,0
D31879.1,D10759.1,1
D31879.1,DQ375403.1,1
D31879.1,GQ847513.2,1
D31879.1,HM119401.1,1
D31879.1,HM119404.1,1
D31879.1,HM119407.1,1
D31879.1,HM119410.1,1
D31879.1,HM119416.2,1
D31879.1,HM119419.1,1
D31879.1,HM119422.1,1
D31879.1,JX403942.1,0
D31879.1,AJ292226.1,0
D31879.1,KR822812.1,0
D31879.1,AB290917.1,0
D31879.1,U93193.1,0
D31879.1,MH323437.1,0
D31879.1,KX184715.1,0
D31879.1,MN532634.1,0
D31879.1,AB914761.1,0
D31879.1,AB084452.1,0
D32136.1,AB014344.1,1
D32136.1,KR080326.1,1
D32136.1,KX977569.1,1
D32136.1,AB844264.1,1
D32136.1,KF311065.1,1
D32136.1,KJ634409.1,1
D32136.1,KT727022.1,1
D32136.1,JN880414.1,1
D32136.1,KT456287.1,1
D32136.1,KF562072.1,1
D32136.1,OQ198128.1,0
D32136.1,MH976510.1,0
D32136.1,MN793997.1,0
D32136.1,KC978958.1,0
D32136.1,OK128265.1,0
D32136.1,BK013522.1,0
D32136.1,MK935153.1,0
D32136.1,MZ679526.1,0
D32136.1,MG470803.1,0
D32136.1,DQ674738.2,0
D49693.1,AF389463.1,1
D49693.1,AF499925.1,1
D49693.1,AY029520.1,1
D49693.1,AY147187.1,1
D49693.1,AY277888.1,1
D49693.1,EF634323.1,1
D49693.1,EU486988.1,1
D49693.1,FN563989.1,1
D49693.1,KC588358.1,1
D49693.1,KR704195.1,1
D49693.1,KY000221.1,0
D49693.1,MK864264.1,0
D49693.1,MH545499.1,0
D49693.1,MH536824.1,0
D49693.1,D10930.1,0
D49693.1,JQ031715.1,0
D49693.1,AB011404.1,0
D49693.1,U31792.1,0
D49693.1,KT693188.1,0
D49693.1,MH937505.1,0
D49695.1,AF049704.1,1
D49695.1,AF499928.1,1
D49695.1,AJ409145.1,1
D49695.1,FN563990.1,1
D49695.1,AB000403.1,0
D49695.1,AB000851.1,0
D49695.1,AB000906.1,0
D49695.1,AB000920.1,0
D49695.1,AB000922.1,0
D49695.1,AB002632.1,0
D49695.1,MW117966.1,0
D49695.1,MH172264.1,0
D49695.1,KU925480.1,0
D49695.1,MZ679659.1,0
D49695.1,MK422449.1,0
D49695.1,CASDWV010001340.1,0
D49695.1,MZ679800.1,0
D49695.1,KX884458.1,0
D49695.1,CASDWV010004487.1,0
D49695.1,MH560358.1,0
D49696.1,AF049705.1,1
D49696.1,AF395873.1,1
D49696.1,AF542082.1,1
D49696.1,AJ293984.1,1
D49696.1,FN563992.1,1
D49696.1,KR704199.1,1
D49696.1,KU984968.1,1
D49696.1,AB000403.1,0
D49696.1,AB000851.1,0
D49696.1,AB000906.1,0
D49696.1,M19420.1,0
D49696.1,HF920634.1,0
D49696.1,KF562864.1,0
D49696.1,GQ865517.1,0
D49696.1,KX883005.1,0
D49696.1,JF342667.1,1
D49696.1,KC512916.1,0
D49696.1,KT215610.1,0
D49696.1,EF527260.1,0
D49696.1,OQ579027.1,0
D55633.1,AB027020.1,1
D55633.1,AB027021.1,1
D55633.1,AB040456.1,1
D55633.1,AB745694.1,1
D55633.1,AF131950.1,1
D55633.1,AF151983.1,1
D55633.1,AF227240.1,1
D55633.1,AF293960.1,1
D55633.1,AF349909.1,1
D55633.1,AF436128.1,1
D55633.1,AY593731.1,0
D55633.1,CASDWV010001020.1,0
D55633.1,AJ416153.1,0
D55633.1,JN867776.1,0
D55633.1,KF826466.1,0
D55633.1,MT966040.1,0
D55633.1,HQ331142.1,0
D55633.1,X03711.1,0
D55633.1,LC192169.1,0
D55633.1,KJ363185.1,0
D55668.1,EU118277.1,1
D55668.1,AF316992.1,1
D55668.1,AM087202.1,1
D55668.1,AY089993.1,1
D55668.1,AY615211.1,1
D55668.1,LC195294.1,1
D55668.1,AY033436.1,1
D55668.1,BTCP01000001.1,0
D55668.1,JN117276.1,1
D55668.1,KU200450.1,0
D55668.1,GU810903.1,0
D55668.1,MK095606.1,0
D55668.1,BK014142.1,0
D55668.1,KX882062.1,0
D55668.1,HM119433.1,0
D55668.1,EF173419.1,0
D55668.1,MT234338.1,0
D55668.1,KY548509.1,0
D55668.1,MH484438.1,0
D55668.1,KM598406.1,0
D63821.1,D00944.1,1
D63821.1,D17763.1,1
D63821.1,EF108306.2,1
D63821.1,GU814265.1,1
D63821.1,AF009606.1,1
D63821.1,M62321.1,1
D63821.1,Y13184.1,1
D63821.1,D63822.1,1
D63821.1,D90208.1,1
D63821.1,Y12083.1,1
D63821.1,BK061818.1,0
D63821.1,MW039256.1,0
D63821.1,AF326750.2,0
D63821.1,LC036579.1,0
D63821.1,OM030311.1,0
D63821.1,MH669015.1,0
D63821.1,BK013770.1,0
D63821.1,BK014160.1,0
D63821.1,HM627184.1,0
D63821.1,CASDWV010004068.1,0
D63822.1,AF009606.1,1
D63822.1,M62321.1,1
D63822.1,EF108306.2,1
D63822.1,D00944.1,1
D63822.1,D90208.1,1
D63822.1,GU814265.1,1
D63822.1,D63821.1,1
D63822.1,Y12083.1,1
D63822.1,Y13184.1,1
D63822.1,D17763.1,1
D63822.1,AF017780.1,0
D63822.1,OQ709208.1,0
D63822.1,MK804171.1,0
D63822.1,MT774380.1,0
D63822.1,BK061798.1,0
D63822.1,BK013996.1,0
D63822.1,KM035804.1,0
D63822.1,MW296877.1,0
D63822.1,EU725772.1,0
D63822.1,JN800508.1,0
D83749.1,DQ641248.1,1
D83749.1,JN008909.1,1
D83749.1,U42596.1,1
D83749.1,JQ609095.1,1
D83749.1,JX294310.1,1
D83749.1,LC604019.1,1
D83749.1,MW972223.1,1
D83749.1,X67673.1,1
D83749.1,AY027810.2,1
D83749.1,EU410442.1,1
D83749.1,CASDWV010003145.1,0
D83749.1,MK359255.1,0
D83749.1,MF155946.1,0
D83749.1,JQ340389.1,0
D83749.1,DQ836063.1,0
D83749.1,KY073745.1,0
D83749.1,KU343156.1,0
D83749.1,AJ557128.1,0
D83749.1,U75930.2,0
D83749.1,OP775659.1,0
D84410.1,EU099844.3,1
D84410.1,JF513082.1,1
D84410.1,AB573435.2,0
D84410.1,AF082843.1,0
D84410.1,AY535004.1,0
D84410.1,EF077630.1,0
D84410.1,EF206691.1,0
D84410.1,GU345042.1,0
D84410.1,GU954430.1,0
D84410.1,JN597006.1,0
D84410.1,MW842780.1,0
D84410.1,HF546575.1,0
D84410.1,MK896556.1,0
D84410.1,KT862243.1,0
D84410.1,KT698168.1,0
D84410.1,KP644238.1,0
D84410.1,OR871063.1,0
D84410.1,BK014027.1,0
D84410.1,JN968479.1,0
D84410.1,OQ709208.1,0
D84411.1,AB818899.1,1
D84411.1,EU099845.3,1
D84411.1,JF513083.1,1
D84411.1,KP760462.1,0
D84411.1,AB017503.1,0
D84411.1,AB089381.1,0
